Iteration,Energy,Positional_error,Obstacle_distance,Task success,Task_success_rate,Penalty,HV,Parameters
22,1.82,0.061325209828094834,0.12685883045196533,1,0.9806067229258227,0.019393277074177304,0.89,"{'max_vel_trans': 0.3175233192182516, 'cost_scaling_factor': 4.112090987146061, 'inflation_radius': 0.9892205075509823, 'max_scaling_factor': 0.10495362344229925, 'max_vel_theta': 3.472569648268558, 'vth_samples': 21, 'min_vel_theta': 0.5938147360028976, 'min_vel_x': -0.11305741313180029, 'occdist_scale': 0.01, 'conservative_reset_dist': 2.7504269597220183, 'min_vel_trans': 0.08, 'controller_frequency': 14.19252192881782}"
23,1.58,0.06452540443957383,0.1370152086019516,1,0.983751241220055,0.01624875877994501,0.9,"{'max_vel_trans': 0.3330714912154819, 'cost_scaling_factor': 9.749791574570192, 'inflation_radius': 0.3, 'max_scaling_factor': 0.1, 'max_vel_theta': 2.8704760032201007, 'vth_samples': 22, 'min_vel_theta': 0.5, 'min_vel_x': -0.23253666842001758, 'occdist_scale': 0.0525250910637188, 'conservative_reset_dist': 1.5729753502672805, 'min_vel_trans': 0.11203403588227587, 'controller_frequency': 13.467434650913168}"
24,1.52,0.0658348337706233,0.1310812085866928,1,0.9849762142178324,0.015023785782167525,0.9,"{'max_vel_trans': 0.3600742582732503, 'cost_scaling_factor': 13.09598258167225, 'inflation_radius': 0.3, 'max_scaling_factor': 0.1, 'max_vel_theta': 2.8832917203884287, 'vth_samples': 22, 'min_vel_theta': 0.5, 'min_vel_x': -0.1762389197906326, 'occdist_scale': 0.01, 'conservative_reset_dist': 1.3278072917190595, 'min_vel_trans': 0.1323631872013259, 'controller_frequency': 15.0}"
25,1.6,0.056905763244726584,0.5333177447319031,1,1.0,0.0,0.9,"{'max_vel_trans': 0.37536306837338484, 'cost_scaling_factor': 8.047256892046693, 'inflation_radius': 0.6974362411136794, 'max_scaling_factor': 0.1, 'max_vel_theta': 2.1060397116076546, 'vth_samples': 20, 'min_vel_theta': 0.5412440063293686, 'min_vel_x': -0.10684660715660865, 'occdist_scale': 0.01817442190315202, 'conservative_reset_dist': 2.9489274006894535, 'min_vel_trans': 0.0906533350833659, 'controller_frequency': 14.800401223869486}"
26,1.66,0.042207609222506735,0.14414499700069427,1,0.9852655917384112,0.014734408261588769,0.9,"{'max_vel_trans': 0.28458682251069944, 'cost_scaling_factor': 9.178785428453036, 'inflation_radius': 0.4123612243457761, 'max_scaling_factor': 0.1, 'max_vel_theta': 2.2386559287680394, 'vth_samples': 20, 'min_vel_theta': 0.5, 'min_vel_x': -0.14654278449196248, 'occdist_scale': 0.01, 'conservative_reset_dist': 1.9664958418890146, 'min_vel_trans': 0.09923834313454323, 'controller_frequency': 15.0}"
27,1.46,0.05848233012845705,0.5116904377937317,1,1.0,0.0,0.91,"{'max_vel_trans': 0.37476766714144083, 'cost_scaling_factor': 11.942384650046986, 'inflation_radius': 0.3, 'max_scaling_factor': 0.1, 'max_vel_theta': 2.3804708876351404, 'vth_samples': 21, 'min_vel_theta': 0.6186373851073099, 'min_vel_x': -0.18801579294357124, 'occdist_scale': 0.03031109145347584, 'conservative_reset_dist': 1.901960782884435, 'min_vel_trans': 0.09981482621543648, 'controller_frequency': 14.899180013022075}"
28,1.47,0.046807860811682415,0.119999997317791,1,0.9824329267636189,0.017567073236381084,0.91,"{'max_vel_trans': 0.34885755499620275, 'cost_scaling_factor': 14.560091135797784, 'inflation_radius': 0.3, 'max_scaling_factor': 0.1, 'max_vel_theta': 2.823314465346052, 'vth_samples': 24, 'min_vel_theta': 0.7633777964545134, 'min_vel_x': -0.2520065091360406, 'occdist_scale': 0.01, 'conservative_reset_dist': 2.669798397721568, 'min_vel_trans': 0.10108469628880859, 'controller_frequency': 15.0}"
29,1.85,0.040276475078026085,0.119999997317791,1,0.9786992451991088,0.021300754800891185,0.9,"{'max_vel_trans': 0.3224426743181021, 'cost_scaling_factor': 19.228877060275078, 'inflation_radius': 0.3, 'max_scaling_factor': 0.1, 'max_vel_theta': 2.9034643294165745, 'vth_samples': 20, 'min_vel_theta': 0.5, 'min_vel_x': -0.19882092953438857, 'occdist_scale': 0.04093105946884258, 'conservative_reset_dist': 2.5096102895680534, 'min_vel_trans': 0.09901623148757152, 'controller_frequency': 15.0}"
30,1.58,0.05108984102745115,0.544708788394928,1,1.0,0.0,0.91,"{'max_vel_trans': 0.36615793565881083, 'cost_scaling_factor': 9.04080671937556, 'inflation_radius': 0.345405486971557, 'max_scaling_factor': 0.1, 'max_vel_theta': 2.5564455665307815, 'vth_samples': 22, 'min_vel_theta': 0.9459257947258011, 'min_vel_x': -0.2492819913840959, 'occdist_scale': 0.01, 'conservative_reset_dist': 2.2471918831631292, 'min_vel_trans': 0.12544757629480505, 'controller_frequency': 15.0}"
31,0.66,2.3863489108228664,0.7626937031745911,0,0.0,0.0,0.2,"{'max_vel_trans': 0.3016203701787793, 'cost_scaling_factor': 4.263830542192319, 'inflation_radius': 1.0254183424617125, 'max_scaling_factor': 0.11159816351118278, 'max_vel_theta': 1.938143009407958, 'vth_samples': 20, 'min_vel_theta': 0.5000951256781528, 'min_vel_x': -0.058880327267657045, 'occdist_scale': 0.019829885904156175, 'conservative_reset_dist': 3.12791860284526, 'min_vel_trans': 0.09160191325843604, 'controller_frequency': 15.0}"
