Iteration,Energy,Positional_error,Obstacle_distance,Task success,Task_success_rate,Penalty,HV,Parameters
34,1.45,0.05887394880948875,0.119999997317791,1,0.9779666214743694,0.022033378525630552,0.91,"{'vy_samples': 2, 'path_distance_bias': 23.124954275030394, 'min_vel_theta': 0.7686161418752961, 'conservative_reset_dist': 2.9246949902659587, 'scaling_speed': 0.2543979017977472, 'controller_frequency': 10.576713789470693, 'sim_time': 1.7096653464029246, 'min_vel_x': -0.14269845173040493, 'publish_frequency': 8.766691814117458, 'controller_patience': 11.026573570958682}"
35,1.91,0.05944902141926418,0.4769350290298462,1,1.0,0.0,0.89,"{'vy_samples': 3, 'path_distance_bias': 26.112312102158814, 'min_vel_theta': 0.7988744299307194, 'conservative_reset_dist': 1.924559906525076, 'scaling_speed': 0.24290842599561097, 'controller_frequency': 11.816245736733524, 'sim_time': 1.9793864640480046, 'min_vel_x': -0.0726026016070814, 'publish_frequency': 5.060156355397398, 'controller_patience': 11.8358027445559}"
36,1.91,0.05663926016848761,0.1311056762933731,1,0.9885185949626385,0.01148140503736146,0.89,"{'vy_samples': 1, 'path_distance_bias': 23.31037948699181, 'min_vel_theta': 0.9305835124555917, 'conservative_reset_dist': 3.415116621089343, 'scaling_speed': 0.2041697555420599, 'controller_frequency': 13.857773689451937, 'sim_time': 1.736927563406623, 'min_vel_x': -0.1329176895599692, 'publish_frequency': 5.0, 'controller_patience': 11.12556373353808}"
37,1.45,0.05110941935424762,0.4957293570041657,1,1.0,0.0,0.91,"{'vy_samples': 3, 'path_distance_bias': 28.464009024027682, 'min_vel_theta': 1.082825967291082, 'conservative_reset_dist': 3.197396784424566, 'scaling_speed': 0.22097712365693925, 'controller_frequency': 12.913611618231283, 'sim_time': 1.730802209107704, 'min_vel_x': -0.10695078966936047, 'publish_frequency': 5.0, 'controller_patience': 10.77856071945213}"
38,1.45,0.05802452014426869,0.262150913476944,1,1.0,0.0,0.91,"{'vy_samples': 3, 'path_distance_bias': 22.14940818542171, 'min_vel_theta': 1.0469740387275808, 'conservative_reset_dist': 3.453944741010392, 'scaling_speed': 0.24947032027477, 'controller_frequency': 11.298611783191912, 'sim_time': 1.549176095549424, 'min_vel_x': -0.11941821786309281, 'publish_frequency': 7.364387651747963, 'controller_patience': 11.833016363701791}"
39,1.69,0.04661053591899657,0.3418079614639282,1,1.0,0.0,0.9,"{'vy_samples': 2, 'path_distance_bias': 24.802855086714164, 'min_vel_theta': 1.2381274770801665, 'conservative_reset_dist': 3.1009772450648434, 'scaling_speed': 0.2168858384276537, 'controller_frequency': 11.47205643884647, 'sim_time': 1.9633849938343642, 'min_vel_x': -0.08412821687892066, 'publish_frequency': 6.396541486219894, 'controller_patience': 12.248503215955617}"
40,1.41,0.0535521421516651,0.4878199994564056,1,1.0,0.0,0.91,"{'vy_samples': 1, 'path_distance_bias': 27.29501885934195, 'min_vel_theta': 0.9998232455813107, 'conservative_reset_dist': 3.5304578817986223, 'scaling_speed': 0.2608397491314512, 'controller_frequency': 11.06673132150626, 'sim_time': 2.078862977458459, 'min_vel_x': -0.10505242787013444, 'publish_frequency': 8.707326007756393, 'controller_patience': 12.481367916298058}"
41,1.41,0.07836347050973462,0.2851239144802093,1,1.0,0.0,0.91,"{'vy_samples': 2, 'path_distance_bias': 29.69481777990142, 'min_vel_theta': 0.755944155829511, 'conservative_reset_dist': 2.9526278157452586, 'scaling_speed': 0.26524760568254846, 'controller_frequency': 13.081305337581048, 'sim_time': 1.9613767075882542, 'min_vel_x': -0.10028972730977778, 'publish_frequency': 9.311957454002876, 'controller_patience': 11.390590251826323}"
42,0.6,2.3895231051488595,0.7936863303184509,0,0.0,0.0,0.2,"{'vy_samples': 3, 'path_distance_bias': 27.658147084749096, 'min_vel_theta': 0.7026499725743313, 'conservative_reset_dist': 3.079265314978128, 'scaling_speed': 0.2741616804953992, 'controller_frequency': 12.44997412699014, 'sim_time': 1.7481189599265141, 'min_vel_x': -0.09620479911169497, 'publish_frequency': 8.66953783139894, 'controller_patience': 11.752316077367226}"
43,1.49,0.047464783978931696,0.4928145110607147,1,1.0,0.0,0.91,"{'vy_samples': 3, 'path_distance_bias': 25.83739277439353, 'min_vel_theta': 1.1267426260487305, 'conservative_reset_dist': 3.32976049923015, 'scaling_speed': 0.2361031154834723, 'controller_frequency': 11.727896795663646, 'sim_time': 1.5409120010357953, 'min_vel_x': -0.06491831639211704, 'publish_frequency': 6.850652248172527, 'controller_patience': 12.58198249954139}"
44,1.41,0.044410879011197626,0.29579102993011475,1,1.0,0.0,0.92,"{'vy_samples': 3, 'path_distance_bias': 26.75443705192369, 'min_vel_theta': 0.7157639204897246, 'conservative_reset_dist': 3.788297016097252, 'scaling_speed': 0.23773486123496837, 'controller_frequency': 12.481772468016754, 'sim_time': 1.4377090905857135, 'min_vel_x': -0.12481269511242088, 'publish_frequency': 7.092268359946602, 'controller_patience': 12.537418923229534}"
45,1.62,0.05274586618832378,0.185920849442482,1,0.9766893760272327,0.02331062397276733,0.9,"{'vy_samples': 4, 'path_distance_bias': 25.09366439601173, 'min_vel_theta': 1.2887837294641908, 'conservative_reset_dist': 2.92193967809699, 'scaling_speed': 0.24910877858282704, 'controller_frequency': 12.298752123373662, 'sim_time': 1.8497770832163893, 'min_vel_x': -0.11052841739985497, 'publish_frequency': 6.9726338336496685, 'controller_patience': 10.486018108343625}"
46,1.45,0.06617470416159392,0.3312109410762787,1,1.0,0.0,0.91,"{'vy_samples': 2, 'path_distance_bias': 28.856173138982335, 'min_vel_theta': 0.8733479102901329, 'conservative_reset_dist': 3.279540074145304, 'scaling_speed': 0.27472846755927777, 'controller_frequency': 12.379918824738215, 'sim_time': 1.7179418719373494, 'min_vel_x': -0.0884121804672919, 'publish_frequency': 8.20284685391779, 'controller_patience': 11.106084491183601}"
47,1.95,0.042601888463930065,0.333228200674057,1,1.0,0.0,0.89,"{'vy_samples': 3, 'path_distance_bias': 26.44225839717471, 'min_vel_theta': 1.0632063189326648, 'conservative_reset_dist': 3.1102152645608747, 'scaling_speed': 0.26637684960836217, 'controller_frequency': 12.25886831949998, 'sim_time': 1.7131373388345186, 'min_vel_x': -0.1342322106355268, 'publish_frequency': 6.324770112380482, 'controller_patience': 12.633140522684375}"
48,1.43,0.05445928519732207,0.5708538889884949,1,1.0,0.0,0.91,"{'vy_samples': 2, 'path_distance_bias': 27.029006141340872, 'min_vel_theta': 0.9703264616324572, 'conservative_reset_dist': 3.5376560242073, 'scaling_speed': 0.26091791505225004, 'controller_frequency': 12.151713770278516, 'sim_time': 1.9992124379801188, 'min_vel_x': -0.07425888622820132, 'publish_frequency': 8.39926690897302, 'controller_patience': 13.119028956121097}"
49,1.41,0.0386750166579594,0.19620315730571747,1,0.9921072082504967,0.007892791749503298,0.92,"{'vy_samples': 0, 'path_distance_bias': 30.72520315093887, 'min_vel_theta': 0.8813258274397011, 'conservative_reset_dist': 2.325594738577935, 'scaling_speed': 0.2736552391044658, 'controller_frequency': 12.648557178158242, 'sim_time': 1.6398098983262808, 'min_vel_x': -0.16971958107481827, 'publish_frequency': 6.500120652734066, 'controller_patience': 11.194866701145923}"
50,1.5,0.0551296489057135,0.32875895500183105,1,1.0,0.0,0.91,"{'vy_samples': 3, 'path_distance_bias': 29.016119988934495, 'min_vel_theta': 1.0661910330840654, 'conservative_reset_dist': 3.5064994008454407, 'scaling_speed': 0.18931016180937615, 'controller_frequency': 11.564921655992883, 'sim_time': 1.6621706755167416, 'min_vel_x': -0.07545040030120545, 'publish_frequency': 7.54491220795595, 'controller_patience': 11.242114593950463}"
