controller_frequency,planner_patience,controller_patience,conservative_reset_dist,acc_lim_theta,acc_lim_trans,acc_lim_x,forward_point_distance,goal_distance_bias,max_scaling_factor,max_vel_theta,max_vel_trans,max_vel_x,min_vel_theta,min_vel_trans,min_vel_x,occdist_scale,oscillation_reset_angle,path_distance_bias,scaling_speed,sim_granularity,sim_time,stop_time_buffer,theta_stopped_vel,trans_stopped_vel,vth_samples,vx_samples,vy_samples,publish_frequency,resolution,transform_tolerance,update_frequency,cost_scaling_factor,inflation_radius,Planner_failed,Recovery_executed,Positional_error,Traveled_distance,Mission_time,Obstacle_distance,Energy,Task_success_rate
8.99,6.63,10.43,2.08,3.47,0.27,1.99,0.34,30.96,0.35,1.83,0.22,0.4,1.21,0.18,-0.19,0.01,0.34,31.96,0.17,0.04,2.02,0.14,0.08,0.08,32,17,1,9.3,0.06,1.46,9.02,9.79,1.17,135,2,0.027984013286683,11.88,91.07,0.58,2.2,1
7.25,3.43,16.2,3.16,4.34,0.29,1.61,0.5,14.67,0.21,2.13,0.25,0.25,1.97,0.2,-0.05,0.05,0.11,32.72,0.34,0.02,1.73,0.84,0.08,0.09,29,20,0,11.38,0.04,1.45,5.48,18.88,0.42,260,4,2.99398622671799,0.16,71.16,0.75,1.21,0
10.57,5.47,18.74,3.26,2.95,0.28,2.16,0.23,21.41,0.21,1.93,0.24,0.16,0.67,0.16,-0.17,0.03,0.15,44.63,0.26,0.04,0.94,1.14,0.09,0.09,36,25,4,15.42,0.08,0.23,16.32,14.45,0.81,3,2,0.020714443917494,9.89,109.43,0.29,2.81,1
9.88,4.47,12.45,1.93,3.9,0.22,3.13,0.37,18.6,0.23,3.8,0.39,0.36,1.96,0.13,-0.29,0.12,0.28,44.27,0.32,0.02,0.85,0.56,0.11,0.08,27,24,1,16.17,0.1,1.58,19.41,15.22,1.86,10,1,0.058293301519313,11.11,76.78,0.13,2.12,1
11.35,3.21,18.96,4.06,3.62,0.22,1.81,0.3,39.37,0.27,1.65,0.27,0.22,0.95,0.2,-0.13,0.08,0.34,31.58,0.34,0.03,0.51,1.24,0.07,0.07,28,20,5,14.47,0.03,1.1,5.75,10.27,1.29,435,2,0.042666080040784,8.46,107.56,0.41,2.23,1
5.16,4.08,16.77,2.69,3.4,0.27,2.54,0.31,21.07,0.4,2.73,0.21,0.35,2.3,0.1,-0.18,0.14,0.23,43.3,0.24,0.04,2.02,0.33,0.09,0.06,33,15,1,8.23,0.11,1.91,13.88,15.05,0.96,1,0,0.039391710308105,12.93,117.25,0.16,3.18,1
14.28,4.24,14.93,4.31,3.49,0.16,2.38,0.51,22.85,0.19,2.62,0.16,0.37,0.93,0.17,-0.13,0.03,0.49,24.78,0.16,0.04,2.01,0.63,0.13,0.11,21,26,5,6.55,0.03,1.21,19.15,16.66,0.32,1301,8,2.16273630503722,1.79,151.55,0.23,2.24,0
6.58,4.24,15.05,1.08,2.51,0.29,3.55,0.37,13.38,0.16,1.91,0.29,0.36,0.93,0.14,-0.19,0.05,0.43,35.25,0.18,0.04,2.18,0.37,0.14,0.13,39,24,5,13.22,0.09,0.79,19.21,13.18,1.6,2,2,0.024669263196276,11.99,94.95,0.13,2.54,1
9.3,4.11,14.77,4.42,4.01,0.19,2.23,0.3,19.89,0.22,2.47,0.28,0.19,1.26,0.14,-0.09,0.05,0.36,32.12,0.31,0.02,2.19,0.93,0.1,0.13,31,30,0,14.7,0.09,1.59,10.99,18.54,1.72,96,3,0.074844896162356,8.58,91.08,0.12,2.07,1
6.21,4.71,16.26,1.12,2.05,0.17,1.67,0.31,16.42,0.15,2.4,0.39,0.18,0.91,0.17,-0.06,0.06,0.35,25.64,0.24,0.02,1.57,1.29,0.13,0.15,25,14,3,5.07,0.09,1.12,18.51,18.01,1.1,350,5,1.85938883388885,1.34,80.72,0.75,0.98,0
7.22,3.19,10.05,1.95,4.06,0.07,3.1,0.46,21.6,0.16,2.65,0.37,0.28,2.1,0.1,-0.14,0.1,0.44,21.56,0.33,0.04,2.36,1.2,0.13,0.13,33,16,3,8.86,0.09,1.25,19.13,4.51,1.33,4,2,0.894130592252613,11.32,104.06,0.23,2.95,0.5
14.14,3.82,10.25,4.45,3.37,0.12,2.16,0.32,18.62,0.31,3.06,0.26,0.38,1.09,0.13,-0.28,0.07,0.2,25.57,0.17,0.03,1.45,0.32,0.12,0.08,50,20,5,18.32,0.1,1.77,8.89,7.97,0.59,29,1,0.069171033670468,15.79,101.23,0.26,2.89,1
6.18,3.35,16.65,1.04,3.3,0.19,2.69,0.27,13.29,0.2,2.82,0.16,0.27,1.41,0.14,-0.13,0.02,0.45,22.6,0.21,0.03,2.45,0.53,0.08,0.09,26,19,3,11.61,0.04,0.52,19.04,17.45,0.72,260,5,2.07211414913032,1.08,62.79,0.77,0.66,0
13.63,5.2,19.81,1.57,3.55,0.28,3.09,0.27,26.47,0.16,3.42,0.28,0.38,1.82,0.21,-0.23,0.03,0.27,31.79,0.3,0.02,2.08,1.08,0.09,0.06,37,23,4,8.51,0.13,1.23,19.38,5.44,1.56,57,0,0.010849747419758,13.82,84.19,0.33,2.23,1
14.26,6.8,19.47,4.12,3.43,0.19,3.06,0.49,17.93,0.12,1.82,0.24,0.34,0.89,0.16,-0.11,0.14,0.47,31.23,0.32,0.02,0.65,1.15,0.06,0.12,41,23,2,14.51,0.05,1.45,8.78,16.49,0.91,3,0,0.05838946070486,9.24,84.71,0.18,2.28,1
11.12,3.44,11.94,1.66,3.3,0.16,3.35,0.43,28.76,0.38,1.77,0.16,0.27,0.91,0.16,-0.24,0.02,0.4,27.46,0.15,0.02,1.64,0.55,0.07,0.08,36,23,5,15.98,0.09,1.79,5.29,16.34,1.97,1745,15,2.14258646894561,4.09,286.68,0.25,4.76,0
10.8,5.18,19.67,3.78,2.42,0.08,3.34,0.36,31.56,0.25,2.83,0.18,0.17,0.77,0.19,-0.21,0.06,0.27,44.72,0.15,0.02,1.94,0.39,0.1,0.06,39,12,4,8.14,0.1,1.27,5.83,9.03,1.92,1290,9,2.08363209207545,1.67,176.1,0.22,2.24,0
14.9,6.39,16.81,2.4,4.04,0.14,1.67,0.45,21.44,0.23,1.96,0.3,0.24,1.27,0.13,-0.21,0.08,0.29,31.24,0.33,0.03,2.06,1.22,0.13,0.09,38,26,1,8.61,0.02,1.97,5.17,16.42,0.66,28,1,0.055869454282862,18.2,111.52,0.13,3.2,1
10.6,4.76,16.62,3.67,3.12,0.09,1.9,0.25,34.87,0.36,3.33,0.29,0.4,1.91,0.16,-0.16,0.1,0.18,40.27,0.32,0.04,1.98,1.44,0.13,0.06,45,17,0,8.12,0.12,0.84,9.61,13.42,1.49,35,1,0.044520255407864,19.91,130.91,0.12,3.7,1
9.38,4.76,13.78,4.32,2.97,0.23,3.92,0.41,29.05,0.17,2.91,0.38,0.35,2.41,0.16,-0.17,0.07,0.28,21.13,0.21,0.03,2.39,0.95,0.09,0.06,31,10,1,11.42,0.09,0.42,14.96,16.66,1.73,311,4,0.76451884154118,2.67,52.87,0.13,0.66,0
11.71,3.93,14.38,1.74,3.37,0.23,3.83,0.31,36.06,0.34,3.13,0.4,0.19,2.2,0.2,-0.23,0.15,0.1,37.21,0.33,0.03,1.53,0.96,0.06,0.08,42,22,1,14.02,0.12,1.11,10.8,9.46,1.81,692,6,3.23266158881049,2.36,119.42,0.27,2.05,0
12.36,4.15,15.38,1.91,2.09,0.12,1.62,0.24,27.4,0.16,3.1,0.35,0.16,1.18,0.18,-0.18,0.05,0.42,29.61,0.23,0.04,0.97,0.86,0.14,0.07,21,13,3,10.13,0.1,0.52,15.31,5.18,0.6,390,4,2.99322020999554,0.13,66.66,0.75,1.13,0
12.02,6.48,16.71,1.47,3.59,0.08,3.82,0.49,18.23,0.21,3.51,0.24,0.32,1.41,0.13,-0.13,0.07,0.37,41.37,0.24,0.02,0.62,0.59,0.13,0.08,33,16,4,19.35,0.04,0.81,11.13,17.6,0.63,1,0,0.052211083460421,10.29,84.77,0.13,2.24,1
10.99,5.26,12.96,3.93,3.08,0.12,2.88,0.24,11.77,0.29,2.93,0.36,0.35,1.61,0.16,-0.2,0.02,0.13,36.47,0.33,0.04,0.78,1.47,0.06,0.1,29,22,2,6.56,0.08,1.44,16.32,14.35,1.12,53,0,0.022502469797186,13.58,73.49,0.19,2,1
13.7,5.2,11.54,4.05,2.44,0.23,1.7,0.45,19.45,0.38,1.95,0.36,0.38,1.44,0.12,-0.22,0.15,0.32,39.92,0.31,0.03,2.37,0.27,0.13,0.13,37,15,5,7.19,0.05,1.28,11.86,13.6,1.47,29,0,0.049855064267175,9.62,66.8,0.12,1.64,1
11.19,6.37,19.38,3.35,4.3,0.14,3.58,0.45,27.29,0.26,3.31,0.27,0.33,1.61,0.15,-0.04,0.14,0.49,37.63,0.17,0.03,2.46,0.27,0.06,0.09,31,18,0,6.15,0.09,1.02,6.86,7.87,1.03,118,1,0.047260794153661,8.99,67.29,0.12,1.6,1
6.55,5.01,10.57,1.09,4.06,0.05,2.21,0.38,32.12,0.16,2.47,0.15,0.31,1.94,0.2,-0.13,0.05,0.28,23.2,0.23,0.03,1.82,0.88,0.08,0.08,47,16,2,10.8,0.12,1.75,19.53,6.84,1.71,172,4,2.99398535793861,0.16,61.02,0.76,1.11,0
11.04,3.53,14.5,3.74,2.18,0.13,3.53,0.27,33.53,0.2,2.33,0.35,0.17,1.97,0.21,-0.16,0.13,0.35,30.58,0.19,0.04,1.08,0.68,0.14,0.15,47,16,5,18.2,0.13,0.61,9.62,12.06,0.67,330,4,2.99341342672384,0.13,64.91,0.74,1.08,0
13.82,6.95,15.88,4.49,3.43,0.17,3.35,0.34,27.28,0.26,3.15,0.24,0.3,1.66,0.19,-0.09,0.05,0.1,40.3,0.17,0.04,1.95,1.22,0.07,0.08,30,26,4,14.13,0.08,0.77,10.96,17,0.71,515,4,1.8768698296189,1.33,51.4,0.72,0.6,0
5.44,3.2,16.74,3.49,3.93,0.08,1.57,0.51,10.8,0.2,2.95,0.19,0.27,0.8,0.19,-0.25,0.1,0.49,40.93,0.16,0.02,0.56,0.45,0.08,0.15,20,18,2,19.37,0.05,1.2,5.68,18.87,0.45,1668,17,2.06909203786884,4.82,470.45,0.31,6.61,0
5.18,5.22,19.88,1.89,2.38,0.28,2.64,0.33,20.77,0.38,2.89,0.17,0.33,1.25,0.11,-0.18,0.05,0.15,30.35,0.15,0.03,1.08,1.45,0.13,0.07,26,28,2,10.78,0.12,0.63,11.14,3.67,1.85,8,0,0.015676064565867,10.78,105.38,0.23,3.01,1
12.07,5.41,18.43,2.81,2.1,0.07,3.46,0.43,27.59,0.13,1.65,0.33,0.17,1.63,0.17,-0.22,0.01,0.45,25.53,0.28,0.02,1.1,1.3,0.05,0.09,44,21,3,17.11,0.12,1.17,18.51,15.57,1.02,57,1,0.030704827990431,17.82,137.55,0.19,3.93,1
13.82,3.08,10.16,3.2,2.53,0.06,3.94,0.43,10.3,0.3,2.38,0.16,0.18,1.45,0.2,-0.07,0.02,0.29,40.41,0.17,0.03,1.72,1.49,0.08,0.06,40,30,1,6.16,0.02,1.01,9.65,19.64,1.59,290,4,2.99317223922874,0.1,55.1,0.75,1.05,0
8.41,4.9,13.43,4.31,3.65,0.29,2.98,0.25,29.98,0.12,1.89,0.24,0.37,0.8,0.13,-0.25,0.01,0.15,28.18,0.2,0.04,2.19,0.36,0.14,0.1,46,26,1,15.1,0.04,0.6,6.56,10.69,1.88,12,1,0.009842809868031,10.71,75.31,0.28,2.04,1
6.49,6.43,10.03,2.72,2.55,0.08,3.57,0.37,14.59,0.23,1.69,0.34,0.38,1.17,0.21,-0.22,0.05,0.36,42.75,0.23,0.02,0.52,0.2,0.09,0.1,31,26,0,6.76,0.14,1.9,9.13,3.31,1.69,51,1,0.019009408512817,24.37,174.05,0.19,4.84,1
12.99,4.52,13.17,4.29,2.51,0.14,3.83,0.42,37.17,0.16,3.51,0.38,0.4,1.19,0.11,-0.14,0.14,0.38,23.44,0.2,0.02,1.52,1.42,0.09,0.11,20,10,5,19.75,0.06,0.83,5.09,3.34,0.98,84,1,0.079560576034901,10.74,69.39,0.12,1.84,1
12.63,5.28,12.26,3.43,2.2,0.06,2.63,0.28,11.26,0.16,2.46,0.37,0.29,2.12,0.22,-0.16,0.11,0.48,42.72,0.17,0.02,2.25,1.06,0.07,0.13,50,28,0,10.3,0.13,1.98,12.43,16.47,0.63,269,4,0.061631934037893,6.33,81.87,0.55,1.41,0.5
5.18,4.17,19.62,4.73,3.54,0.18,2.22,0.36,22.67,0.26,3.98,0.35,0.18,0.94,0.18,-0.08,0.06,0.36,39.11,0.16,0.03,1.96,1.1,0.12,0.09,32,12,2,10.49,0.09,1.36,19.54,17.51,0.59,708,4,1.83845187665625,5.43,182.88,0.71,2.16,0.5
9.23,6.66,16.38,4.38,2.09,0.15,3.87,0.37,14.46,0.25,4,0.37,0.22,0.82,0.19,-0.27,0.03,0.39,30.64,0.3,0.02,0.78,1.47,0.09,0.1,25,29,2,15.39,0.08,1.4,6,16.51,0.31,8,1,0.04180452874204,13.09,102.25,0.32,2.83,1
8.83,4.85,15.59,2.95,2.66,0.12,2.16,0.27,13.19,0.19,2.01,0.25,0.3,2.39,0.2,-0.01,0.02,0.2,32.75,0.16,0.03,0.74,0.87,0.07,0.13,32,15,1,14.91,0.12,1.93,14.84,13.59,0.81,316,4,2.519899903095,0.68,46.92,0.26,0.43,0
10.93,3.48,14.37,2.65,2.23,0.28,2.63,0.34,16.51,0.2,3.91,0.3,0.31,1.43,0.19,-0.11,0.12,0.44,32.32,0.26,0.02,1.6,0.45,0.1,0.1,49,21,5,5.13,0.02,1.43,16.48,8.55,1.67,45,0,0.024863911173476,9.55,56.91,0.15,1.43,1
13.9,6.96,11.99,3.67,4.18,0.22,3.92,0.46,38.72,0.24,3.52,0.25,0.33,1.94,0.15,-0.13,0.01,0.48,25.21,0.21,0.04,1.52,1.11,0.05,0.11,25,10,4,7.9,0.11,1.84,15.26,12.27,1.43,598,4,0.100100250516625,31.47,223.97,0.13,5.47,0
8.06,6.82,11.27,4.24,3.65,0.13,3.04,0.23,23.35,0.32,3.47,0.21,0.19,2.5,0.15,-0.1,0.05,0.48,32.65,0.17,0.02,1.45,0.61,0.08,0.12,22,12,1,16.6,0.03,1.7,18.76,18.26,0.44,41,2,0.070920546527012,9.56,97.25,0.31,2.6,0.5
12.9,4.04,11.16,4.26,3.33,0.08,1.52,0.5,20.85,0.36,3.45,0.26,0.26,1.1,0.12,-0.15,0.04,0.39,37.18,0.25,0.04,2.47,0.97,0.06,0.07,49,26,1,6.25,0.12,0.25,16.55,16.49,1.24,37,0,0.02956518727754,14.8,97.75,0.12,2.75,1
10.45,5.82,15.15,4.84,3.77,0.18,2.35,0.33,33.55,0.25,2.62,0.39,0.36,2,0.21,-0.06,0.06,0.18,36.73,0.15,0.02,1.01,1.09,0.08,0.14,49,19,2,8.47,0.06,1.26,6.94,18.88,1.11,326,4,0.678637533953629,2.64,47.19,0.69,0.6,0
9.59,6.24,15.12,1.37,2.75,0.21,3.49,0.44,10.35,0.35,2.21,0.25,0.19,0.85,0.11,-0.04,0.07,0.16,35.19,0.16,0.04,1.06,1.18,0.14,0.05,24,18,5,17.23,0.09,0.57,12.95,8.32,1.4,193,3,0.017088362578467,9.61,123.19,0.12,2.83,0.5
9.93,6.09,12.39,3.11,3.09,0.27,2.36,0.48,26.15,0.18,1.52,0.24,0.33,0.83,0.1,-0.29,0.15,0.26,31.41,0.2,0.02,1.8,0.57,0.08,0.07,39,23,3,18.04,0.12,1.84,16.69,12.59,0.72,8,0,0.072806134507153,10.25,86.29,0.12,2.28,1
5.21,3.45,17.69,4.02,4.1,0.14,2.84,0.49,10.28,0.28,2.84,0.39,0.26,2.4,0.1,-0.27,0.08,0.16,26.35,0.2,0.03,1.09,0.6,0.09,0.08,24,23,0,15.28,0.06,1.82,19.31,5.92,1.76,1,3,0.095280351692478,11.92,135.1,0.28,3.7,1
6.56,5.31,14.11,4.96,4.38,0.1,3.86,0.45,14.14,0.37,1.62,0.32,0.17,0.69,0.15,-0.24,0.12,0.24,44.34,0.19,0.03,1.64,0.39,0.06,0.11,22,21,2,9.09,0.07,1.15,19.95,5.19,1.24,1,1,0.042117328714447,9.84,88.81,0.47,2.22,1
8.21,3.51,19.51,2.23,2.5,0.25,1.54,0.35,36.21,0.32,3.27,0.17,0.34,1.29,0.12,-0.12,0.06,0.4,44.02,0.25,0.04,2.48,0.56,0.11,0.09,22,30,1,14.04,0.09,1.14,19.89,12.62,1.07,29,1,0.042521938726573,12.43,104.08,0.19,2.87,1
8.33,3.69,17.02,3.45,3.18,0.3,3.09,0.27,15.9,0.23,1.54,0.17,0.4,1.99,0.14,-0.17,0.1,0.18,38.91,0.21,0.04,1.95,0.8,0.11,0.12,21,13,2,11.59,0.09,1.77,6.11,7.6,0.81,17,0,0.069620830136078,12.05,116.41,0.43,3.26,1
13.26,6.57,10.77,1.07,4.19,0.17,2.7,0.52,12.72,0.33,2.61,0.2,0.29,0.81,0.17,-0.26,0.09,0.29,29.76,0.25,0.03,0.87,0.42,0.08,0.09,27,28,2,19.28,0.09,0.51,18.25,9.46,1.23,62,2,0.039968427687112,16.54,136.06,0.12,3.89,1
11.61,3.46,17.91,1.57,2.89,0.09,3.52,0.3,25.71,0.34,2.43,0.36,0.19,0.65,0.13,-0.15,0.05,0.37,21.14,0.17,0.04,0.92,0.68,0.06,0.05,25,15,1,17.66,0.08,1.46,9.17,18.28,0.76,11,1,0.013152551815079,10.01,95.27,0.16,2.48,1
13.47,4.57,15.54,3.79,3.51,0.1,2.1,0.47,33.04,0.16,2.06,0.29,0.33,0.96,0.11,-0.19,0.14,0.2,20.82,0.27,0.03,2.22,0.37,0.14,0.12,50,15,1,17.37,0.09,0.88,8.57,19.25,1.21,87,2,0.079810975037269,21.03,159.27,0.24,4.48,1
