controller_frequency,planner_patience,controller_patience,conservative_reset_dist,acc_lim_theta,acc_lim_trans,acc_lim_x,forward_point_distance,goal_distance_bias,max_scaling_factor,max_vel_theta,max_vel_trans,max_vel_x,min_vel_theta,min_vel_trans,min_vel_x,occdist_scale,oscillation_reset_angle,path_distance_bias,scaling_speed,sim_granularity,sim_time,stop_time_buffer,theta_stopped_vel,trans_stopped_vel,vth_samples,vx_samples,vy_samples,publish_frequency,resolution,transform_tolerance,update_frequency,cost_scaling_factor,inflation_radius,Planner_failed,Recovery_executed,Positional_error,Traveled_distance,Mission_time,Obstacle_distance,Energy,Task_success_rate
4.73,3.1,6.78,1.95,2.56,0.33,4.55,0.58,23.69,0.11,1.6,0.32,0.46,2.75,0.1,-0.22,0.09,0.31,23.8,0.18,0.04,1.78,0.44,0.11,0.09,20,7,10,5.67,0.06,1.45,3.56,8.77,0.45,0,0,0.196384708341115,14.36,81.88,0.4,60.32,1
3.07,4.26,5,4.21,4.74,0.12,2.7,0.28,28.24,0.3,0.74,0.35,0.43,2.54,0.13,-0.09,0.34,0.29,14.47,0.2,0.02,1.61,1.49,0.06,0.06,30,6,3,3.21,0.04,0.64,5.48,16.2,0.82,22,2,0.202812867175905,12.54,83.67,0.9,53.96,0.8
3.76,3.09,6.08,3.05,4.07,0.48,1.82,0.42,18.31,0.29,1.32,0.46,0.39,1.85,0.2,-0.01,0.46,0.36,30.47,0.24,0.04,1.65,0.75,0.09,0.12,17,6,13,3.21,0.15,0.91,3.08,13.61,0.89,27,2,0.108925419498313,11.86,71.32,0.69,44.04,0.8
3.91,4.97,6.4,1.63,1.84,0.45,3.34,0.53,37.4,0.28,1.29,0.71,0.54,2.34,0.11,-0.1,0.22,0.37,37.56,0.24,0.03,0.54,0.16,0.11,0.07,12,4,15,1.7,0.07,1.83,2.19,1.48,0.33,30,2,0.176173238853927,16.59,107.22,0.4,72.04,0.8
4.88,6.41,3.16,4.31,3.85,0.15,4.02,0.41,13.64,0.18,1.32,0.53,0.64,2.33,0.17,-0.09,0.22,0.22,40.51,0.22,0.04,1.92,0.85,0.1,0.09,28,9,9,5.71,0.02,0.25,1.21,2.99,0.67,4,0,0.157565181164021,14.41,60.99,0.4,42.68,1
3.36,4.23,3.1,3.68,4.98,0.4,4.89,0.53,39.71,0.16,1.99,0.34,0.54,1.97,0.14,-0.03,0.24,0.25,36.84,0.34,0.04,1.97,0.7,0.11,0.15,19,8,5,5.68,0.08,1.26,3.58,1.82,1.2,15,2,0.206148620332355,13.08,75.12,0.4,48.6,0.8
3.45,4.12,3.91,1.45,3.16,0.38,2.69,0.68,35.86,0.12,0.62,0.53,0.72,2.56,0.18,-0.14,0.22,0.1,44.47,0.22,0.02,2.01,1.21,0.07,0.12,21,8,15,2.88,0.08,0.76,5.86,1.46,0.4,0,0,0.200880795320034,14.42,55.55,0.4,37.32,1
3.81,4.47,6.92,4.72,2,0.34,1.03,0.63,18.6,0.41,1,0.72,0.65,1.56,0.1,-0.27,0.23,0.31,25.99,0.27,0.02,0.73,0.25,0.12,0.05,15,7,12,3.01,0.12,1.53,1.84,4.07,0.41,34,11,0.15189620130561,26.55,289.21,0.98,188.88,0.4
5.7,6.81,4.03,4.07,4.22,0.45,1.77,0.44,33.69,0.41,0.57,0.7,0.51,2.72,0.19,-0.28,0.08,0.13,42.81,0.34,0.03,2.44,0.24,0.12,0.07,21,9,14,1,0.15,1.31,5.39,19.12,0.96,39,11,0.27473289496414,41.31,280.87,0.69,173.32,0.4
6.21,3.08,4.48,2.12,3.02,0.11,4.87,0.49,25.29,0.36,1.02,0.5,0.39,1.84,0.13,-0.11,0.28,0.47,33.63,0.17,0.04,3.24,0.2,0.09,0.06,23,6,10,3.19,0.09,0.97,1.54,15.41,1.17,32,2,0.190170226387756,11.61,68.38,0.89,44.68,0.8
